id,name,description,price,stock,unlimited_stock,status,createdAt,updatedAt,deletedAt,sku
46,Habbasyifa 200 kps,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Syifa 005
47,Madu Jamkorat 280 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Fira 03
48,Iqro Koran Besar + Juz Amma,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,AMM 005
49,SkyGoat Full Cream Original 10 sct,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,0631
50,Kurma Sukari 1 Kg King,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR10242124
51,MGanik Metafiber Rasa Jeruk Yuzu 7 Sctt @15 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Mganik 004
52,Fikih Muyassar,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 0287
53,Sari Kurma Madu Angkak Sakura Propolis Jambu Biji Daun Ubi 470 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Darusyifa 18
54,Al Quran Ash Shahib A4 Tajwid,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Hilal M 15
55,Matan HADITS ARBAIN,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIU 125
56,Iqro Koran Kecil Perjilid,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,AMM 007
57,Minyak Herba Sinergi HNI 100ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,2037
58,Wookey Wight Rasa Gula Aren  220 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,MJH 01
59,Madu Al Shifa 500 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,3446
60,Sunnah Miswak Siwak,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR112458
61,Black Garlic Bawang Lanang Sehato,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,sehato 001
62,Parfum Madawi 35 ML Spray,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,OUD SERIES 3
63,Panduan Manasik Haji Umrah  Ustd Yazid,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIS PMHU
64,Riyadhus Shalihin DH,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 0272
65,Madu Gemuk Badan 350 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Bin Dawood 01
66,Aisar,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Ibnul Jazari 001
67,Tahsin dan Tajwid Utsmani,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DS 0015
68,Hotto Purto 16 Sachet,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Purto 1
69,Nutri Flakes 280 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,WJI 01
70,Cuka Apel Moornie 330 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,morni 01
71,Kumpulan Doa dari Al Quran dan AS Sunnah,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIS KDA
72,Buku Anak Dzikir Pagi Petang DPP,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIU 211
73,Dzikir Pagi Petang Saku dpp,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Arafah 029
74,Jahe Merah Super Ratu Lebah 20 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Ratu Lebah 006
