id,name,description,price,stock,unlimited_stock,status,createdAt,updatedAt,deletedAt,sku
193,Al Quran Al Majid A4 HC,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Alfatih 0021
194,Hisnul Muslim Saku,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Arafah 027
195,Al Quran Al Majid A5 HC,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Alfatih 0022
196,Gold G Jelly Gamat 100 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,3677
197,Mix Saga,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,2056
198,Madu Hitam Pahit Insulin,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Darusyifa 13
199,Coklat Kerikil 250 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,092
200,Gurah Asy Syifa 30 kps,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,3578
201,Kurma Ajwa King Date 1 kg,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Syifa 002
202,Madu Hutan Platinum 500 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Thoifah 0001
203,Kurma Safawi,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR01255
204,Buhur AMR - Amirah Bakhoor Factory,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR12247
205,Madu Hutan Liar 500 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Wadey 1867
206,Togastro 50 Kps,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Toga 2894
207,Parfum X No Permata,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,X Parfum 2209
208,Mengenal PRIBADI AGUNG Nabi Muhammad,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,UQ 1979
209,VCO Virgin Oil 125 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Thoifah 0919
210,Superfood Royal Pumkin/Labu Kuning 500gr (Pengganti Multigrain),-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Mganik 008
211,Organic Chia Seed 70 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Nutrifarm 02
212,Minyak Herba Kutus Kutus,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Kut 1
213,Syarah Aqidah AWJ,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIS SAQ
214,Sifat WUDHU & SHALAT NABI,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIS SWSN
215,Al Quran Ash Shahib A6 Resl,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Hilal M 17
216,Panduan Praktis Umrah gantung GI,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,GI 061
217,Durusul Lughah 1-4 SC,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Kitab 07011
218,Dosa-Dosa Tidak Disadari KAUM WANITA,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 0649
219,Sari Kurma Madu Angkak Plus 280 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Fira 17
220,Madu Vitomata 280 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Fira 05
221,Matan & Terjemah Hadits Arbain An Nawawi,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 0344
222,Sari Kurma Madu Angkak Plus 470 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Fira 18
223,Ranuna Kacang Arab 1kg,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,1232
224,Madu Syamil Anak 125 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,3590
225,Al Quran Al Hafiz A5,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Cordoba 2089
226,Minyak VCO 125 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Darusyifa 33
227,Gamaxs Gold 60 kps,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Darusyifa 3
228,Kamus Santri Baru Level 1,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Arafah 028
229,Al Muyassar Fii Ilmin Nahwi Jilid 1 Azka,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Azka 005
230,Air Zam Zam Kemasan Botol 1 Liter,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,002
231,Kamus Santri Baru Level 3,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Arafah 051
232,Kamus Santri Baru Level 2,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Arafah 050
233,Nahwu Wadhih juz 1,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Wadi 07231
234,Mushaf At Tajwid A5 HC,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,UQ 5165
235,Amtsila Tasrif Sampul Biru,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR10243987
236,Minyak Herba SInergi Hot,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR052511
237,H Sauda 120 K Ajwa,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Vico 0936
238,Juz Amma terjemah HVS 14 x 20 Nuun,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR10243519
239,Siratik 60 Kpl,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Thoifah 110015
240,Madu Hutan Multiflora 500 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Thoifah 0003
241,Minyak Cengkeh,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR01253
242,Sari Kurma Sahira 335 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,TNJ 005
243,Al-Quran Al Mubarok A5 Rest,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR112437
244,Kurma Sugae,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR01257
245,Parfum Blue Sky 10ml Beard,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR112442
246,Al Quran Waqaf & Ibtida A5 Tajwid Ar Razzaq,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,S Agung 018
247,Madu Hitam Pahit Ratu Lebah 470 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Ratu Lebah 1711
248,Kacang Almond Toples 300 Gram,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR022515
249,Madu Mazero 175 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Thoifah 1666
250,Nurul Yaqin,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,UQ 003
251,Kapsul Gamas (Gamat emas) 60 Kpl,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Thoifah 0083
252,Parfum Al Amir Shadha 6 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,SHA 11
253,Al Quran Al Mahir A4,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Medina 001
254,Al Quran Al Mitsaq A4,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Medina 002
255,Kurma  Fruit Palm 500 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Kurma 1538
256,Parfum Al Amir Oud 35 ML Spray,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,OUD SERIES 9
257,KIsah Teladan Birrul Walidain Generasi Mulia,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIS BWGM
258,Al Quran Al Khobir A4 HC Transliterasi Perkata,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Nur Ilmu 004
259,Berdoa Yuk Beramal Dan Berpahala,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIS BY
260,Buku Anak Mari Belajar Menulis JUZ AMMA Surat Pilihan,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIU 265
261,Medina Zaitun Extra Virgin Oil 325 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Medina 1941
262,Tuntunan Praktis MANASIK UMRAH,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIU 223
263,SEHARI Di Kediaman Rasulullah,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 0250
264,Hotto Mame,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Hotto 1
265,Gold G Jelly Gamat 250 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,goldgg1
266,76 Dosa Besar,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 0206
267,Madu Jadied Masela 165g,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Jadied 1226
268,Suami Istri Rumah Mungil Bahagia,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 3238
269,Durusulughah Jilid 1 Hijau Putih,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Kitab 1020
270,Fathul Majid,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 0237
271,99 Kisah Orang Shalih DH,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 120
272,Teh Celup Jati Cina 20 Scht,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Darusyifa 28
273,Coklat Truffle Mix 1 kg,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,1234
274,Minyak But But 75 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,2038
275,Manhajus Salikin,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Arafah 0033
276,Vitabumin 130 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,5069
277,Madu Al Shifa 1000 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,3445
278,Cuka Apel KITA 300 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,0013
279,Madu Al Shifa 125 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,1648
280,Botol Zam zam 80 ml isi 25 pcl,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,091
281,Jahe AMH Amanah Super,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,AMH 002
